Jugador,Altura,Peso,Jgdos,Minutos,Goles,Asitencias,Amarillas,Roja,TirosPPartido,Ap%,Aéreos,JdelP,Rating
Harry Kane,188,86,10,890,7,3,1,0,2.8,69.8,2.3,4,7.48
Musiala,180,68,9,709,2,1,1,0,2.2,87.9,0.1,0,7.34
Kimmich,177,75,10,900,1,2,2,0,0.9,90.9,0.5,1,7.18
Sané,183,80,10,767,1,1,1,0,2.2,84.6,0.0,0,7.14
Goretzka,189,82,9,716,0,1,2,0,0.9,92.9,0.9,1,7.08
Coman,181,76,7,449,2,0,0,0,1.6,85.2,0.9,1,7.01
Eric Dier,188,83,3,270,0,0,0,0,0.7,89.4,1.0,0,6.92
Pavlovic,186,80,2,116,0,0,0,0,0.0,92.8,1.0,0,6.86
Min-Jae,190,88,7,554,0,0,0,0,0.3,92.6,1.7,1,6.86
Mazraoui,183,63,6,470,0,1,0,0,0.5,87.8,1.3,0,6.83
Davies,183,75,8,638,0,0,3,0,0.3,87.3,0.4,0,6.78
Matthijs,187,89,5,377,0,1,0,0,1.0,92.1,1.6,0,6.68
Upamecano,186,83,7,500,0,0,0,1,0.7,93.2,1.4,0,6.65
Müller,185,76,7,338,1,1,0,0,1.0,79.7,0.0,0,6.63
Neuer,193,93,7,630,0,0,0,0,0.0,83.7,0.1,0,6.63
Laimer,180,72,9,591,0,0,2,0,0.2,82.9,0.4,0,6.63
Mathys Tel,183,77,8,139,2,1,0,0,1.0,81.0,0.0,0,6.56
Guerreiro,170,71,6,343,0,2,0,0,1.0,86.2,0.2,0,6.54
Gnabry,176,77,5,163,2,0,0,0,0.6,80.8,0.2,0,6.52
Sarr,177,69,1,12,0,0,0,0,0.0,100.0,0.0,0,6.34
Ulreich,192,87,4,271,0,0,1,0,0.0,77.2,0.3,0,6.29
Krätzig,171,60,1,4,0,0,0,0,0.0,87.5,0.0,0,6.19
Choupo-Moting,191,90,4,35,0,0,0,0,1.0,78.6,0.3,0,6.08
